Name,Position
carlos carrasco,SP
hector neris,RP
joey lucchesi,RP
tyler alexander,RP
erasmo ramirez,RP
trevor richards,RP
sean newcomb,RP
shelby miller,RP
bryse wilson,RP
tim mayza,RP
jalen beeks,RP
shawn armstrong,RP
adrian houser,SP
drew pomeranz,RP
brad keller,SP
mike clevinger,RP
miguel castro,RP
anthony desclafani,RP
ryan yarbrough,RP
luke weaver,RP
dustin may,SP
justin wilson,RP
danny coulombe,RP
hoby milner,RP
kyle hendricks,SP
caleb thielbar,RP
caleb ferguson,RP
derek law,RP
cal quantrill,SP
seranthony dominguez,RP
hunter harvey,RP
joe ross,RP
chris paddack,SP
griffin canning,SP
ryne stanek,RP
ryan brasier,RP
andrew chafin,RP
clayton kershaw,SP
michael kopech,SP
andrew heaney,SP
chris martin,RP
tyler rogers,RP
gregory soto,RP
kyle finnegan,RP
zack littell,RP
austin gomber,SP
phil maton,RP
jake junis,RP
devin williams,RP
erick fedde,SP
tommy kahnle,RP
emilio pagan,RP
ryan helsley,RP
nestor cortes,SP
wade miley,SP
jordan romano,RP
merrill kelly,SP
aaron civale,SP
patrick corbin,SP
kenley jansen,RP
jose leclerc,RP
german marquez,SP
aroldis chapman,RP
tyler mahle,SP
taylor rogers,RP
steven matz,SP
ranger suarez,SP
rafael montero,RP
tomoyuki sugano,SP
kirby yates,RP
tyler anderson,SP
zach eflin,SP
dylan cease,SP
zac gallen,SP
jon gray,SP
raisel iglesias,RP
justin verlander,SP
charlie morton,SP
alex cobb,SP
max scherzer,SP
david robertson,RP
miles mikolas,SP
framber valdez,SP
chris bassitt,SP
nick martinez,SP
jordan montgomery,SP
frankie montas,SP
shane bieber,SP
a.j. minter,RP
jack flaherty,SP
robert suarez,RP
wandy peralta,RP
edwin diaz,RP
walker buehler,SP
brandon woodruff,SP
jose quintana,SP
michael king,SP
liam hendriks,RP
michael lorenzen,SP
martín pérez,SP
paul sewald,RP
shota imanaga,SP
kodai senga,SP
matt strahm,RP
lucas giolito,SP
jose alvarado,RP
andrew kittredge,RP
freddy peralta,SP
pete fairbanks,RP
pierce johnson,RP
scott barlow,RP
john means,SP
andres munoz,RP
colin rea,RP
kyle hart,RP
tyler kinley,RP
jonathan loaisiga,RP
brooks raley,RP
jose urquidy,SP
jose quijada,RP
alex vesia,RP
brent suter,RP
tim hill,RP
drew smith,RP
justin topa,RP
chris sale,SP
elvin rodriguez,RP
